frame,timestamp,realtime_sec,track_inner_ms,tracking_state,tracking_state_name,flag_ok,flag_recently_lost,flag_lost,flag_vo,host,build_id,cpu_temp_c,throttled_hex,imu_scale_s,bias_bax,bias_bay,bias_baz,bias_bwx,bias_bwy,bias_bwz,dx,dy,dz,e_trans,drx,dry,drz,mean_desc_dist,desc_std,inlier_ratio,reproj_error,feature_spread,feature_grid_coverage,velocity_change,map_inliers,keypoints,reproj_error_lag1,reproj_error_lag5,reproj_error_rolling_mean,map_inliers_trend,map_inliers_rolling_mean,velocity_acceleration,velocity_change_lag1,drift_prev,drift_rolling_mean,inlier_ratio_lag1,inlier_ratio_trend,keypoints_rolling_mean,feature_spread_trend,feature_grid_coverage_lag1,tracking_health_score
0,1403636582.363555431,1779006228.732921,1.4567,2,OK,1,0,0,0,hurwitz,unknown_build,61.700,N/A,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000009,0.219579,0.044271,0.000000,0,1208,nan,nan,0.000009,nan,0.000000,0.000000,nan,nan,0.000000,nan,nan,1208.000000,nan,nan,0.657503
1,1403636582.413555384,1779006228.788958,13.4758,2,OK,1,0,0,0,hurwitz,unknown_build,61.700,N/A,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002037,0.023109,0.009545,0.025085,-0.012681,0.000461,0.000537,31.261627,17.214655,1.000000,1.299823,0.211498,0.027669,0.037786,172,1205,0.000009,nan,0.649916,nan,86.000000,0.025085,0.000000,0.000000,0.012543,1.000000,nan,1206.500000,nan,0.044271,0.602759
2,1403636582.463555574,1779006228.825704,3.8385,2,OK,1,0,0,0,hurwitz,unknown_build,61.700,N/A,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001198,0.027294,0.010196,0.029160,-0.015488,-0.000372,-0.001092,38.877419,19.944553,1.000000,1.502139,0.216253,0.025065,0.006905,155,1204,1.299823,nan,0.933990,nan,109.000000,0.004075,0.037786,0.025085,0.018082,1.000000,nan,1205.666626,nan,0.027669,0.585324
3,1403636582.513555527,1779006228.879443,4.2825,2,OK,1,0,0,0,hurwitz,unknown_build,61.700,N/A,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000035,0.028887,0.007550,0.029857,-0.013172,-0.002895,0.002223,17.055696,24.551809,1.000000,0.543676,0.223513,0.057943,-0.001166,150,1204,1.502139,nan,0.836412,nan,119.250000,0.000697,0.006905,0.029160,0.021026,1.000000,nan,1205.250000,nan,0.025065,0.604090
4,1403636582.563555479,1779006228.935538,7.8719,2,OK,1,0,0,0,hurwitz,unknown_build,61.700,N/A,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000193,0.031563,0.010222,0.033178,-0.010027,-0.003794,0.001172,25.958242,27.375378,1.000000,0.852307,0.226718,0.065104,0.000437,272,1207,0.543676,nan,0.839591,nan,149.800003,0.003320,-0.001166,0.029857,0.023456,1.000000,nan,1205.599976,nan,0.057943,0.640662
5,1403636582.613555431,1779006228.993270,8.8911,2,OK,1,0,0,0,hurwitz,unknown_build,61.700,N/A,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.001098,0.031536,0.010149,0.033147,-0.006057,-0.006059,0.005032,41.780060,20.667347,1.000000,1.261926,0.236269,0.052083,-0.001223,341,1206,0.852307,0.000009,0.909980,68.199997,181.666672,-0.000230,0.000437,0.033178,0.025071,1.000000,0.000000,1205.666626,0.003338,0.065104,0.632482
6,1403636582.663555384,1779006229.044932,7.6335,2,OK,1,0,0,0,hurwitz,unknown_build,61.700,N/A,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.001381,0.030999,0.008937,0.032291,-0.005019,-0.005299,-0.000131,47.368420,21.743988,1.000000,1.355854,0.237128,0.047526,-0.003149,285,1209,1.261926,1.299823,0.973676,22.600000,196.428574,-0.000657,-0.001223,0.033147,0.026103,1.000000,0.000000,1206.142822,0.005126,0.052083,0.630818
7,1403636582.713555574,1779006229.094716,6.1747,2,OK,1,0,0,0,hurwitz,unknown_build,61.700,N/A,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.001148,0.031579,0.011268,0.033549,-0.004601,-0.002691,-0.001441,48.462502,22.377783,1.000000,1.497883,0.221840,0.039388,-0.000519,240,1208,1.355854,1.502139,1.039202,17.000000,201.875000,0.001258,-0.003149,0.032291,0.027034,1.000000,0.000000,1206.375000,0.001117,0.047526,0.628290
8,1403636582.763555527,1779006229.138971,6.5695,2,OK,1,0,0,0,hurwitz,unknown_build,61.700,N/A,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.002288,0.033706,0.008649,0.034873,-0.005852,-0.004061,-0.004537,20.978001,28.433773,1.000000,0.624889,0.223050,0.070638,0.004248,212,1208,1.497883,0.543676,0.993167,12.400000,203.000000,0.001324,-0.000519,0.033549,0.027905,1.000000,0.000000,1206.555542,-0.000093,0.039388,0.647895
9,1403636582.813555479,1779006229.193902,7.6432,2,OK,1,0,0,0,hurwitz,unknown_build,61.700,N/A,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.002438,0.031802,0.007692,0.032809,-0.009586,-0.006733,-0.005017,41.028900,23.579758,1.000000,1.323579,0.227720,0.055664,0.001906,346,1207,0.624889,0.852307,1.026208,14.800000,217.300003,-0.002617,0.004248,0.034873,0.028395,1.000000,0.000000,1206.599976,0.000200,0.070638,0.632494
