frame,timestamp,realtime_sec,track_inner_ms,tracking_state,tracking_state_name,flag_ok,flag_recently_lost,flag_lost,flag_vo,host,build_id,cpu_temp_c,throttled_hex,imu_scale_s,bias_bax,bias_bay,bias_baz,bias_bwx,bias_bwy,bias_bwz,dx,dy,dz,e_trans,drx,dry,drz,mean_desc_dist,desc_std,inlier_ratio,reproj_error,feature_spread,feature_grid_coverage,velocity_change,map_inliers,keypoints,reproj_error_lag1,reproj_error_lag5,reproj_error_rolling_mean,map_inliers_trend,map_inliers_rolling_mean,velocity_acceleration,velocity_change_lag1,drift_prev,drift_rolling_mean,inlier_ratio_lag1,inlier_ratio_trend,keypoints_rolling_mean,feature_spread_trend,feature_grid_coverage_lag1,tracking_health_score
0,1413393886.005760431,1779009267.528786,1.7655,2,OK,1,0,0,0,hurwitz,unknown_build,62.800,N/A,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000006,0.214655,0.053711,0.000000,0,1203,nan,nan,0.000006,nan,0.000000,0.000000,nan,nan,0.000000,nan,nan,1203.000000,nan,nan,0.659115
1,1413393886.055760384,1779009267.582394,15.4305,2,OK,1,0,0,0,hurwitz,unknown_build,62.800,N/A,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000028,0.000020,0.000201,0.000204,-0.000152,-0.000160,0.000059,10.410995,12.076817,1.000000,0.365127,0.210482,0.048503,0.000432,382,1205,0.000006,nan,0.182567,nan,191.000000,0.000204,0.000000,0.000000,0.000102,1.000000,nan,1204.000000,nan,0.053711,0.659126
2,1413393886.105760574,1779009267.618902,8.6719,2,OK,1,0,0,0,hurwitz,unknown_build,62.800,N/A,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000385,0.000129,0.000129,0.000426,0.000257,-0.000148,0.000076,11.025510,11.881414,1.000000,0.362364,0.208009,0.048828,0.000301,392,1202,0.365127,nan,0.242499,nan,258.000000,0.000223,0.000432,0.000204,0.000210,1.000000,nan,1203.333374,nan,0.048503,0.659435
3,1413393886.155760527,1779009267.654933,8.0244,2,OK,1,0,0,0,hurwitz,unknown_build,62.800,N/A,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000259,-0.000147,0.000145,0.000331,0.000062,0.000049,-0.000020,13.422279,12.971889,1.000000,0.524102,0.210030,0.048503,-0.000320,386,1201,0.362364,nan,0.312900,nan,290.000000,-0.000095,0.000301,0.000426,0.000240,1.000000,nan,1202.750000,nan,0.048828,0.648427
4,1413393886.205760479,1779009267.700462,8.8324,2,OK,1,0,0,0,hurwitz,unknown_build,62.800,N/A,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000141,0.000081,-0.000298,0.000339,-0.000181,0.000064,0.000020,13.013055,13.476694,1.000000,0.405336,0.211543,0.047852,0.000120,383,1204,0.524102,nan,0.331387,nan,308.600006,0.000008,-0.000320,0.000331,0.000260,1.000000,nan,1203.000000,nan,0.048503,0.655652
5,1413393886.255760431,1779009267.752265,8.6446,2,OK,1,0,0,0,hurwitz,unknown_build,62.800,N/A,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000209,-0.000060,-0.000314,0.000382,-0.000018,-0.000096,0.000066,12.141388,13.589582,1.000000,0.477905,0.211828,0.048828,-0.000032,389,1202,0.405336,0.000006,0.355806,77.800003,322.000000,0.000043,0.000120,0.000339,0.000280,1.000000,0.000000,1202.833374,-0.000565,0.047852,0.650967
6,1413393886.305760384,1779009267.800245,7.5356,2,OK,1,0,0,0,hurwitz,unknown_build,62.800,N/A,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000027,0.000124,0.000437,0.000455,0.000221,-0.000083,0.000145,14.317708,14.864608,1.000000,0.579623,0.209178,0.047526,0.000231,384,1202,0.477905,0.365127,0.387780,0.400000,330.857147,0.000073,-0.000032,0.000382,0.000305,1.000000,0.000000,1202.714233,-0.000261,0.048828,0.645733
7,1413393886.355760574,1779009267.850924,7.1946,2,OK,1,0,0,0,hurwitz,unknown_build,62.800,N/A,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000081,-0.000181,-0.000155,0.000252,-0.000263,0.000099,-0.000420,12.875662,12.709115,1.000000,0.512908,0.211892,0.047526,0.000025,378,1202,0.579623,0.362364,0.403421,-2.800000,336.750000,-0.000203,0.000231,0.000455,0.000299,1.000000,0.000000,1202.625000,0.000777,0.047526,0.648828
8,1413393886.405760527,1779009267.901628,7.6087,2,OK,1,0,0,0,hurwitz,unknown_build,62.800,N/A,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000015,0.000097,0.000311,0.000326,-0.000012,0.000050,0.000135,13.362205,13.339897,1.000000,0.514105,0.210976,0.049154,-0.000286,381,1202,0.512908,0.524102,0.415719,-1.000000,341.666656,0.000075,0.000025,0.000252,0.000302,1.000000,0.000000,1202.555542,0.000189,0.047526,0.649043
9,1413393886.455760479,1779009267.952322,7.9667,2,OK,1,0,0,0,hurwitz,unknown_build,62.800,N/A,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000011,-0.000057,-0.000300,0.000306,0.000169,0.000141,-0.000089,10.730280,11.573142,1.000000,0.303482,0.210204,0.048828,0.000072,393,1203,0.514105,0.405336,0.404496,2.000000,346.799988,-0.000021,-0.000286,0.000326,0.000302,1.000000,0.000000,1202.599976,-0.000268,0.049154,0.665696
